,PLAYER_NAME,CURR_GP,CURR_MIN,CURR_FTR,TEAM_ABBREVIATION,PAST_GP,PAST_MIN,PAST_FTR,FTR_DIFF,CURR_FTA,PAST_FTA,FTA_DIFF
0,Vlatko Cancar,3,23.0,0.5,DEN,9,21.0,0.0,0.5,6.3,0.0,6.3
1,Sekou Doumbouya,2,16.0,0.571,DET,21,269.0,0.163,0.4079999999999999,8.8,2.8,6.000000000000001
2,Zeke Nnaji,9,109.0,0.333,DEN,10,23.0,0.0,0.333,4.0,0.0,4.0
3,Tacko Fall,7,19.0,0.5,BOS,4,42.0,0.211,0.28900000000000003,7.4,3.5,3.9000000000000004
4,KZ Okpala,10,63.0,0.348,MIA,13,166.0,0.081,0.26699999999999996,4.6,1.3,3.3
5,Jalen Smith,6,32.0,0.357,PHX,7,48.0,0.105,0.252,5.6,1.5,4.1
6,Kelly Olynyk,10,229.0,0.299,HOU,21,547.0,0.054,0.245,5.5,0.9,4.6
7,Nathan Knight,9,34.0,0.526,ATL,8,44.0,0.286,0.24000000000000005,10.5,4.9,5.6
8,Drew Eubanks,20,294.0,0.372,SAS,6,76.0,0.167,0.205,5.1,2.8,2.3
9,Boban Marjanovic,11,63.0,0.419,DAL,15,108.0,0.217,0.20199999999999999,7.4,4.3,3.1000000000000005
10,Juancho Hernangomez,11,39.0,0.278,MIN,11,224.0,0.088,0.19000000000000003,4.7,1.6,3.1
11,Cameron Payne,17,303.0,0.29,PHX,13,227.0,0.1,0.18999999999999997,4.8,1.4,3.4
12,Mike Muscala,16,233.0,0.291,OKC,20,359.0,0.103,0.188,4.6,1.8,2.8
13,Jarrett Culver,7,64.0,0.381,MIN,16,339.0,0.195,0.186,4.5,3.5,1.0
14,Miles Bridges,24,868.0,0.268,CHA,23,591.0,0.088,0.18000000000000002,3.9,1.4,2.5
15,Kristaps Porzingis,15,455.0,0.408,DAL,12,364.0,0.231,0.17699999999999996,5.1,3.3,1.7999999999999998
16,Robin Lopez,8,121.0,0.356,WAS,19,343.0,0.18,0.176,4.7,3.4,1.3000000000000003
17,Markus Howard,11,64.0,0.174,DEN,10,18.0,0.0,0.174,2.3,0.0,2.3
18,Skylar Mays,7,19.0,0.455,ATL,5,15.0,0.286,0.16900000000000004,9.4,4.9,4.5
19,Jeff Green,21,502.0,0.29,BKN,24,621.0,0.121,0.16899999999999998,4.2,2.1,2.1
20,Obi Toppin,22,336.0,0.278,NYK,13,156.0,0.113,0.16500000000000004,4.7,2.1,2.6
21,Kevin Knox II,5,18.0,0.25,NYK,20,364.0,0.086,0.164,3.9,1.2,2.7
22,Isaac Bonga,7,34.0,0.2,WAS,15,216.0,0.038,0.162,2.1,0.5,1.6
23,Frank Kaminsky,9,181.0,0.345,PHX,15,202.0,0.19,0.15499999999999997,4.0,2.8,1.2000000000000002
24,Taj Gibson,11,205.0,0.15,NYK,2,19.0,0.0,0.15,1.6,0.0,1.6
25,Frank Jackson,22,471.0,0.15,DET,7,39.0,0.0,0.15,2.8,0.0,2.8
26,Cody Zeller,22,286.0,0.381,CHA,10,245.0,0.232,0.149,5.7,3.4,2.3000000000000003
27,Dillon Brooks,9,221.0,0.351,MEM,17,486.0,0.205,0.146,5.4,2.7,2.7
28,Jaxson Hayes,19,232.0,0.322,NOP,18,230.0,0.18,0.14200000000000002,5.7,3.8,1.9000000000000004
29,Kevon Looney,21,385.0,0.217,GSW,21,307.0,0.083,0.134,3.4,1.5,1.9
30,Jusuf Nurkic,23,568.0,0.353,POR,12,280.0,0.22,0.13299999999999998,5.2,3.5,1.7000000000000002
31,R.J. Hampton,24,443.0,0.265,ORL,14,46.0,0.133,0.132,3.9,1.6,2.3
32,Torrey Craig,25,393.0,0.131,PHX,9,91.0,0.0,0.131,2.0,0.0,2.0
33,Montrezl Harrell,23,610.0,0.408,LAL,23,568.0,0.278,0.12999999999999995,7.0,4.7,2.3
34,Jahmi'us Ramsey,7,46.0,0.129,SAC,4,16.0,0.0,0.129,3.1,0.0,3.1
35,Al Horford,19,548.0,0.199,BOS,14,381.0,0.071,0.128,3.0,0.9,2.1
36,Yuta Watanabe,4,66.0,0.222,TOR,16,199.0,0.096,0.126,3.3,1.4,1.9
37,Alex Caruso,22,650.0,0.154,LAL,18,328.0,0.03,0.124,2.7,0.5,2.2
38,Xavier Tillman,15,203.0,0.255,MEM,12,257.0,0.132,0.123,2.5,1.7,0.8
39,Ivica Zubac,22,537.0,0.366,LAC,24,462.0,0.243,0.123,4.8,4.2,0.5999999999999996
40,Jakob Poeltl,13,374.0,0.27,SAS,22,457.0,0.153,0.11700000000000002,3.0,2.4,0.6000000000000001
41,Tyrese Maxey,23,815.0,0.227,PHI,23,422.0,0.111,0.116,3.7,1.7,2.0
42,Malcolm Brogdon,20,710.0,0.323,IND,23,822.0,0.208,0.11500000000000002,4.7,3.2,1.5
43,Kelan Martin,18,300.0,0.113,IND,9,39.0,0.0,0.113,1.3,0.0,1.3
44,Kyle Kuzma,23,745.0,0.186,LAL,23,552.0,0.075,0.111,2.4,1.2,1.2
45,Moritz Wagner,22,248.0,0.288,ORL,9,119.0,0.179,0.10899999999999999,4.9,4.2,0.7000000000000002
46,Bol Bol,10,47.0,0.176,DEN,11,59.0,0.071,0.105,2.3,1.2,1.0999999999999999
47,Thanasis Antetokounmpo,19,241.0,0.183,MIL,15,144.0,0.083,0.09999999999999999,2.5,0.7,1.8
